Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,134,6,Some Random Commen with Id 0
1,0,4,7,4,Some Random Commen with Id 1
2,0,4,32,2,Some Random Commen with Id 2
3,0,4,135,9,Some Random Commen with Id 3
4,0,4,160,4,Some Random Commen with Id 4
5,1,8,189,8,Some Random Commen with Id 5
6,1,8,146,3,Some Random Commen with Id 6
7,1,8,57,5,Some Random Commen with Id 7
8,1,8,84,5,Some Random Commen with Id 8
9,1,8,99,1,Some Random Commen with Id 9
10,2,0,177,6,Some Random Commen with Id 10
11,2,0,176,6,Some Random Commen with Id 11
12,2,0,122,0,Some Random Commen with Id 12
13,2,0,8,8,Some Random Commen with Id 13
14,2,0,86,2,Some Random Commen with Id 14
15,2,0,10,2,Some Random Commen with Id 15
16,2,0,123,5,Some Random Commen with Id 16
17,3,1,165,9,Some Random Commen with Id 17
18,3,1,108,2,Some Random Commen with Id 18
19,3,1,72,0,Some Random Commen with Id 19
20,3,1,1,0,Some Random Commen with Id 20
21,3,1,53,2,Some Random Commen with Id 21
22,3,1,11,6,Some Random Commen with Id 22
23,4,9,149,2,Some Random Commen with Id 23
24,4,9,113,3,Some Random Commen with Id 24
25,4,9,92,2,Some Random Commen with Id 25
26,4,9,174,6,Some Random Commen with Id 26
27,4,9,101,7,Some Random Commen with Id 27
28,4,9,100,1,Some Random Commen with Id 28
29,4,9,17,2,Some Random Commen with Id 29
30,4,9,29,9,Some Random Commen with Id 30
31,4,9,167,8,Some Random Commen with Id 31
32,6,0,57,8,Some Random Commen with Id 32
33,6,0,177,0,Some Random Commen with Id 33
34,6,0,73,3,Some Random Commen with Id 34
35,6,0,136,2,Some Random Commen with Id 35
36,6,0,37,3,Some Random Commen with Id 36
37,6,0,52,7,Some Random Commen with Id 37
38,6,0,188,1,Some Random Commen with Id 38
39,6,0,173,0,Some Random Commen with Id 39
40,7,4,85,0,Some Random Commen with Id 40
41,7,4,114,7,Some Random Commen with Id 41
42,7,4,194,9,Some Random Commen with Id 42
43,7,4,147,2,Some Random Commen with Id 43
44,7,4,184,7,Some Random Commen with Id 44
45,10,2,125,2,Some Random Commen with Id 45
46,10,2,47,8,Some Random Commen with Id 46
47,10,2,130,3,Some Random Commen with Id 47
48,10,2,136,8,Some Random Commen with Id 48
49,10,2,117,8,Some Random Commen with Id 49
50,10,2,56,2,Some Random Commen with Id 50
51,10,2,190,7,Some Random Commen with Id 51
52,10,2,173,2,Some Random Commen with Id 52
53,11,6,126,8,Some Random Commen with Id 53
54,11,6,113,9,Some Random Commen with Id 54
55,11,6,129,0,Some Random Commen with Id 55
56,11,6,62,5,Some Random Commen with Id 56
57,11,6,192,7,Some Random Commen with Id 57
58,11,6,11,0,Some Random Commen with Id 58
59,11,6,127,3,Some Random Commen with Id 59
60,11,6,131,0,Some Random Commen with Id 60
61,11,6,69,1,Some Random Commen with Id 61
62,12,8,69,4,Some Random Commen with Id 62
63,12,8,196,5,Some Random Commen with Id 63
64,12,8,192,5,Some Random Commen with Id 64
65,12,8,28,7,Some Random Commen with Id 65
66,12,8,48,0,Some Random Commen with Id 66
67,14,1,193,0,Some Random Commen with Id 67
68,15,2,3,7,Some Random Commen with Id 68
69,15,2,165,6,Some Random Commen with Id 69
70,15,2,67,6,Some Random Commen with Id 70
71,15,2,126,4,Some Random Commen with Id 71
72,15,2,46,2,Some Random Commen with Id 72
73,15,2,142,6,Some Random Commen with Id 73
74,15,2,70,3,Some Random Commen with Id 74
75,15,2,144,8,Some Random Commen with Id 75
76,16,1,192,2,Some Random Commen with Id 76
77,16,1,18,9,Some Random Commen with Id 77
78,16,1,118,0,Some Random Commen with Id 78
79,16,1,22,8,Some Random Commen with Id 79
80,16,1,61,3,Some Random Commen with Id 80
81,16,1,94,5,Some Random Commen with Id 81
82,16,1,107,2,Some Random Commen with Id 82
83,17,3,45,9,Some Random Commen with Id 83
84,17,3,76,1,Some Random Commen with Id 84
85,17,3,153,8,Some Random Commen with Id 85
86,17,3,113,8,Some Random Commen with Id 86
87,17,3,79,0,Some Random Commen with Id 87
88,19,0,44,3,Some Random Commen with Id 88
89,19,0,4,0,Some Random Commen with Id 89
90,19,0,92,0,Some Random Commen with Id 90
91,19,0,83,8,Some Random Commen with Id 91
92,19,0,169,0,Some Random Commen with Id 92
93,19,0,49,6,Some Random Commen with Id 93
94,19,0,101,9,Some Random Commen with Id 94
95,20,4,62,6,Some Random Commen with Id 95
96,20,4,75,3,Some Random Commen with Id 96
97,20,4,93,6,Some Random Commen with Id 97
98,20,4,116,0,Some Random Commen with Id 98
99,20,4,1,8,Some Random Commen with Id 99
100,20,4,26,1,Some Random Commen with Id 100
101,21,3,22,2,Some Random Commen with Id 101
102,21,3,29,1,Some Random Commen with Id 102
103,21,3,176,9,Some Random Commen with Id 103
104,21,3,15,4,Some Random Commen with Id 104
105,21,3,171,9,Some Random Commen with Id 105
106,21,3,92,9,Some Random Commen with Id 106
107,21,3,89,7,Some Random Commen with Id 107
108,21,3,137,3,Some Random Commen with Id 108
109,22,8,107,1,Some Random Commen with Id 109
110,22,8,19,8,Some Random Commen with Id 110
111,22,8,87,5,Some Random Commen with Id 111
112,23,1,43,2,Some Random Commen with Id 112
113,23,1,101,8,Some Random Commen with Id 113
114,23,1,79,8,Some Random Commen with Id 114
115,23,1,17,0,Some Random Commen with Id 115
116,23,1,195,9,Some Random Commen with Id 116
117,23,1,73,1,Some Random Commen with Id 117
118,23,1,127,6,Some Random Commen with Id 118
119,24,1,113,2,Some Random Commen with Id 119
120,24,1,195,3,Some Random Commen with Id 120
121,24,1,110,1,Some Random Commen with Id 121
122,24,1,172,3,Some Random Commen with Id 122
123,24,1,40,8,Some Random Commen with Id 123
124,25,1,40,7,Some Random Commen with Id 124
125,25,1,174,4,Some Random Commen with Id 125
126,25,1,9,8,Some Random Commen with Id 126
127,25,1,122,5,Some Random Commen with Id 127
128,26,1,179,6,Some Random Commen with Id 128
129,26,1,36,8,Some Random Commen with Id 129
130,26,1,129,4,Some Random Commen with Id 130
131,26,1,70,8,Some Random Commen with Id 131
132,27,8,133,6,Some Random Commen with Id 132
133,28,6,73,5,Some Random Commen with Id 133
134,28,6,100,7,Some Random Commen with Id 134
135,28,6,41,5,Some Random Commen with Id 135
136,28,6,57,5,Some Random Commen with Id 136
137,28,6,132,5,Some Random Commen with Id 137
138,28,6,179,4,Some Random Commen with Id 138
139,28,6,8,8,Some Random Commen with Id 139
140,28,6,159,5,Some Random Commen with Id 140
141,29,4,38,3,Some Random Commen with Id 141
142,29,4,138,6,Some Random Commen with Id 142
143,29,4,86,6,Some Random Commen with Id 143
144,29,4,34,2,Some Random Commen with Id 144
145,29,4,137,5,Some Random Commen with Id 145
146,30,8,18,5,Some Random Commen with Id 146
147,30,8,29,3,Some Random Commen with Id 147
148,30,8,135,6,Some Random Commen with Id 148
149,30,8,154,6,Some Random Commen with Id 149
150,30,8,103,5,Some Random Commen with Id 150
151,30,8,69,9,Some Random Commen with Id 151
152,30,8,178,4,Some Random Commen with Id 152
153,30,8,156,0,Some Random Commen with Id 153
154,30,8,167,2,Some Random Commen with Id 154
155,31,8,30,1,Some Random Commen with Id 155
156,31,8,123,9,Some Random Commen with Id 156
157,32,1,79,3,Some Random Commen with Id 157
158,32,1,195,2,Some Random Commen with Id 158
159,32,1,194,0,Some Random Commen with Id 159
160,33,9,111,9,Some Random Commen with Id 160
161,33,9,50,9,Some Random Commen with Id 161
162,34,7,184,0,Some Random Commen with Id 162
163,34,7,137,5,Some Random Commen with Id 163
164,34,7,93,1,Some Random Commen with Id 164
165,34,7,81,2,Some Random Commen with Id 165
166,35,0,130,9,Some Random Commen with Id 166
167,35,0,128,9,Some Random Commen with Id 167
168,35,0,105,6,Some Random Commen with Id 168
169,36,8,120,0,Some Random Commen with Id 169
170,37,4,75,5,Some Random Commen with Id 170
171,37,4,45,3,Some Random Commen with Id 171
172,37,4,34,1,Some Random Commen with Id 172
173,38,0,20,7,Some Random Commen with Id 173
174,38,0,174,8,Some Random Commen with Id 174
175,38,0,196,4,Some Random Commen with Id 175
176,38,0,32,0,Some Random Commen with Id 176
177,38,0,43,4,Some Random Commen with Id 177
178,38,0,169,1,Some Random Commen with Id 178
179,38,0,74,6,Some Random Commen with Id 179
180,38,0,40,1,Some Random Commen with Id 180
181,38,0,145,8,Some Random Commen with Id 181
